"est";"id";"scientificName";"names_wo_author"
"MG";135563;"Dahlstedtia peckoltii (Wawra) M.J. Silva & A.M.G. Azevedo";"Dahlstedtia peckoltii"
"MG";135573;"Utricularia vulgaris Vell.";"Utricularia vulgaris"
"MG";135580;"Ichnanthus rondonii Kuhlm.";"Ichnanthus rondonii"
"MG";135583;"Utricularia itatiaiae Taub.";"Utricularia itatiaiae"
"MG";135589;"Thismia singeri (de la Sota) Maas & Maas";"Thismia singeri"
"MG";135591;"Acianthera mantiquyrana (Barb.Rodr.) V.T.Rodrigues & F.Barros";"Acianthera mantiquyrana"
"MG";135592;"Utricularia spatulata Splitg. ex De Vries";"Utricularia spatulata"
"MG";135601;"Utricularia williamsii Steyerm";"Utricularia williamsii"
"MG";135607;"Acianthera subulifolia (Kraenzl.) Chiron & Van den Berg";"Acianthera subulifolia"
"MG";135611;"Ipheion sessile (Phil) Traub";"Ipheion sessile"
"MG";135649;"Cyclotheca lucumae Bat. & O.M. Fonseca";"Cyclotheca lucumae"
"MG";135652;"Didymopyrostroma xylopiae Bat. & Cavalc.";"Didymopyrostroma xylopiae"
"MG";135727;"Rhipsalis cruciformis (Vell.) A.Cast.";"Rhipsalis cruciformis"
"MG";135730;"Desmidium graciliceps var. groenbladii C.E.M.Bicudo & Samanez";"Desmidium graciliceps"
"MG";135731;"Beloperone meyeniana Nees";"Beloperone meyeniana"
"MG";135732;"Rhytiglossa meyeniana (Nees) Nees";"Rhytiglossa meyeniana"
"MG";135733;"Hyalotheca dissiliens var. tatrica Racib.";"Hyalotheca dissiliens"
"MG";135735;"Niphaea albolineata Hook.";"Niphaea albolineata"
"MG";135736;"Cereus alacriportanus Pfeiff.";"Cereus alacriportanus"
"MG";135737;"Cereus uruguayanus R.Kiesling";"Cereus uruguayanus"
"MG";135738;"Microthyriella caseariae Bat. & I.H. Lima";"Microthyriella caseariae"
"MG";135739;"Gymnocalycium bueneckeri Swales";"Gymnocalycium bueneckeri"
"MG";135742;"Monvillea phatnosperma (K.Schum.) Britton & Rose";"Monvillea phatnosperma"
"MG";135745;"Microthyriella coffeae (Henn.) Theiss.";"Microthyriella coffeae"
"MG";135746;"Microthyrium coffeae Henn.";"Microthyrium coffeae"
"MG";135747;"Achlya androgyna (W. Archer) T.W. Johnson & R.L. Seym.";"Achlya androgyna"
"MG";135760;"Microthyriella erythroxyliana Bat. & I.H. Lima";"Microthyriella erythroxyliana"
"MG";135774;"Cuphea polymorpha var. prostrata A.St.-Hil.";"Cuphea polymorpha"
"MG";135777;"Schizothyrium guineense (Roger) Arx";"Schizothyrium guineense"
"MG";135786;"Cuphea hirticaulis Koehne";"Cuphea hirticaulis"
"MG";135800;"Microthyriella oblongotheca Bat., J.L. Bezerra & Cavalc.";"Microthyriella oblongotheca"
"MG";135801;"Microthyriella ocoteae Bat.";"Microthyriella ocoteae"
"MG";135802;"Microthyriella palicoureae Bat. & I.H. Lima";"Microthyriella palicoureae"
"MG";135803;"Microthyriella paulliniae Bat. & I.H. Lima";"Microthyriella paulliniae"
"MG";135805;"Microthyriella pogonophorae Bat. & I.H. Lima";"Microthyriella pogonophorae"
"MG";135806;"Microthyriella rickii (Rehm) Höhn.";"Microthyriella rickii"
"MG";135807;"Microthyriella rimulosa (Speg.) Theiss.";"Microthyriella rimulosa"
"MG";135809;"Microthyrium rimulosum Speg.";"Microthyrium rimulosum"
"MG";135811;"Piriqueta crenata L. Rocha, I.M. Souza & Arbo";"Piriqueta crenata"
"MG";135819;"Episcia cuneata Gleason";"Episcia cuneata"
"MG";135823;"Mimosa uninervis (Chodat & Hassler) Hassler";"Mimosa uninervis"
"MG";135830;"Cylindrospermum stagnale Gupta & Pandey var. stagnale form. minor";"Cylindrospermum stagnale"
"MG";135831;"Cylindrospermum stagnale Schwabe var. stagnale form. naviculoides";"Cylindrospermum stagnale"
"MG";135833;"Plantago leptophylla Decne.";"Plantago leptophylla"
"MG";135847;"Microthyriella uvariae (Henn.) Theiss.";"Microthyriella uvariae"
"MG";135866;"Pseudobombax minimum Carv.-Sobr. & L.P.Queiroz";"Pseudobombax minimum"
"MG";135873;"Phytopythium kandeliae (H.H. Ho, H.S. Chang & S.Y. Hsieh) Thines";"Phytopythium kandeliae"
"MG";135886;"Lythrum apetalum Spreng.";"Lythrum apetalum"
